fid,id,left,top,right,bottom,row_index,col_index,area_km2,fid_count,area_m2_sum,density,area_m2_mean,area_m2_max,area_m2_stddev,UMAP1,UMAP2,Cluster
56,428,737540.6993,2578188.0052,738540.6993,2577188.0052,7,14,0.647,56.0,15591.344,0.024,278.416857,1169.059,262.202934,6.070659,9.7114105,0
57,429,737540.6993,2577188.0052,738540.6993,2576188.0052,8,14,0.999,334.0,90981.493,0.091,272.39968,11576.571,681.921933,10.078854,6.458282,5
58,430,737540.6993,2576188.0052,738540.6993,2575188.0052,9,14,0.999,470.0,95266.143,0.095,202.693921,2372.577,259.745452,10.470371,9.846402,3
59,431,737540.6993,2575188.0052,738540.6993,2574188.0052,10,14,0.999,16.0,2504.407,0.003,156.525438,625.697,141.14403,6.214225,12.7935915,4
60,432,737540.6993,2574188.0052,738540.6993,2573188.0052,11,14,0.999,,,0.0,,,,-16.537891,-0.2740661,1
61,433,737540.6993,2573188.0052,738540.6993,2572188.0052,12,14,0.999,,,0.0,,,,-16.64922,0.21644714,1
62,434,737540.6993,2572188.0052,738540.6993,2571188.0052,13,14,0.999,,,0.0,,,,-16.984383,0.05052218,1
63,435,737540.6993,2571188.0052,738540.6993,2570188.0052,14,14,0.247,,,0.0,,,,-16.905935,0.24855602,1
64,454,738540.6993,2582188.0052,739540.6993,2581188.0052,3,15,0.508,18.0,1546.133,0.003,85.896278,530.988,111.047382,6.7491326,14.648787,4
65,455,738540.6993,2581188.0052,739540.6993,2580188.0052,4,15,0.944,59.0,15235.13,0.016,258.222542,1329.681,343.661727,6.226694,9.807002,0
66,456,738540.6993,2580188.0052,739540.6993,2579188.0052,5,15,0.99,193.0,47487.259,0.048,246.047974,5645.093,520.566147,9.196902,7.87377,5
67,457,738540.6993,2579188.0052,739540.6993,2578188.0052,6,15,0.615,176.0,51119.62,0.083,290.452386,5493.8,635.793236,9.244901,7.7711964,5
68,458,738540.6993,2578188.0052,739540.6993,2577188.0052,7,15,0.97,61.0,6760.669,0.007,110.830639,1819.52,239.892432,6.8425455,11.483949,0
69,459,738540.6993,2577188.0052,739540.6993,2576188.0052,8,15,0.999,356.0,100001.049,0.1,280.901823,11576.571,668.541929,10.051877,6.430279,5
70,460,738540.6993,2576188.0052,739540.6993,2575188.0052,9,15,0.999,1207.0,399124.623,0.4,330.674915,4186.219,403.785781,12.295046,2.8217795,2
71,461,738540.6993,2575188.0052,739540.6993,2574188.0052,10,15,0.999,816.0,278664.192,0.279,341.500235,7208.687,530.170925,11.026193,4.807714,2
72,462,738540.6993,2574188.0052,739540.6993,2573188.0052,11,15,0.999,,,0.0,,,,-16.68781,-0.1313404,1
73,463,738540.6993,2573188.0052,739540.6993,2572188.0052,12,15,0.999,,,0.0,,,,-16.918304,-0.22024246,1
74,464,738540.6993,2572188.0052,739540.6993,2571188.0052,13,15,0.999,1.0,88.347,0.0,88.347,88.347,0.0,6.4796877,15.84761,4
75,465,738540.6993,2571188.0052,739540.6993,2570188.0052,14,15,0.837,121.0,19940.31,0.024,164.79595,2602.79,327.014697,7.201526,10.509181,0
76,466,738540.6993,2570188.0052,739540.6993,2569188.0052,15,15,0.719,50.0,22347.873,0.031,446.95746,3562.309,862.111906,7.887367,6.9115376,5
77,467,738540.6993,2569188.0052,739540.6993,2568188.0052,16,15,0.368,58.0,25257.625,0.069,435.476293,2774.904,605.513019,7.691048,7.5063405,5
78,468,738540.6993,2568188.0052,739540.6993,2567188.0052,17,15,0.398,116.0,21697.097,0.055,187.04394,3274.324,439.076619,7.332953,10.246019,0
79,469,738540.6993,2567188.0052,739540.6993,2566188.0052,18,15,0.619,322.0,44882.639,0.073,139.387078,863.745,117.270181,9.403272,11.462837,3
80,470,738540.6993,2566188.0052,739540.6993,2565188.0052,19,15,0.003,2.0,232.451,0.077,116.2255,126.288,10.0625,7.4406223,13.715228,4
81,483,739540.6993,2583188.0052,740540.6993,2582188.0052,2,16,0.036,12.0,1228.529,0.034,102.377417,344.032,100.716852,7.4165115,13.860747,4
82,484,739540.6993,2582188.0052,740540.6993,2581188.0052,3,16,0.981,22.0,2613.988,0.003,118.817636,241.32,68.820184,6.170681,13.861819,4
83,485,739540.6993,2581188.0052,740540.6993,2580188.0052,4,16,0.999,211.0,31474.378,0.032,149.167668,1401.245,171.455906,9.02975,11.769159,3
84,486,739540.6993,2580188.0052,740540.6993,2579188.0052,5,16,0.999,656.0,116547.55,0.117,177.663948,2869.984,270.871178,10.9698305,9.896982,3
85,487,739540.6993,2579188.0052,740540.6993,2578188.0052,6,16,0.999,1445.0,280138.14,0.28,193.867225,4164.605,289.465368,12.647713,3.744237,2
86,488,739540.6993,2578188.0052,740540.6993,2577188.0052,7,16,0.999,147.0,25434.56,0.025,173.024218,2759.21,297.724305,7.1784053,10.532217,0
