id,left,top,right,bottom,row_index,col_index,area_km2,fid_count,fid_sum,id_count,area_m2_co,area_m2_su,DN_count,DN_sum,DN_mean,obf_pct,obf_n,bld_n,wsf_n,UMI,UMI_w
467,738540.699300000094809,2569188.005200000014156,739540.699300000094809,2568188.005200000014156,16,15,0.368,58,5170238.000000,58,58,25257.625000,20,4590.000000,229.500000,6.863,0.129,0.033,0.923,0.362,0.249
468,738540.699300000094809,2568188.005200000014156,739540.699300000094809,2567188.005200000014156,17,15,0.398,116,11005215.000000,116,116,21697.097000,44,8415.000000,191.250000,5.452,0.103,0.065,0.769,0.312,0.221
469,738540.699300000094809,2567188.005200000014156,739540.699300000094809,2566188.005200000014156,18,15,0.619,322,29618877.000000,322,322,44882.639000,98,22185.000000,226.377551,7.251,0.136,0.182,0.911,0.410,0.309
470,738540.699300000094809,2566188.005200000014156,739540.699300000094809,2565188.005200000014156,19,15,0.003,2,204383.000000,2,2,232.451000,3,510.000000,170.000000,7.748,0.146,0.001,0.684,0.277,0.196
483,739540.699300000094809,2583188.005200000014156,740540.699300000094809,2582188.005200000014156,2,16,0.036,12,1371062.000000,12,12,1228.529000,7,1530.000000,218.571429,3.413,0.064,0.007,0.879,0.317,0.204
484,739540.699300000094809,2582188.005200000014156,740540.699300000094809,2581188.005200000014156,3,16,0.981,22,2112036.000000,22,22,2613.988000,12,2805.000000,233.750000,0.266,0.005,0.012,0.940,0.319,0.195
485,739540.699300000094809,2581188.005200000014156,740540.699300000094809,2580188.005200000014156,4,16,0.999,211,19111181.000000,211,211,31474.378000,67,11730.000000,175.074627,3.151,0.059,0.119,0.704,0.294,0.212
486,739540.699300000094809,2580188.005200000014156,740540.699300000094809,2579188.005200000014156,5,16,0.999,656,59965580.000000,656,656,116547.550000,199,19125.000000,96.105528,11.666,0.219,0.370,0.387,0.325,0.313
487,739540.699300000094809,2579188.005200000014156,740540.699300000094809,2578188.005200000014156,6,16,0.999,1445,134140372.000000,1445,1445,280138.140000,558,29070.000000,52.096774,28.042,0.528,0.816,0.210,0.518,0.580
488,739540.699300000094809,2578188.005200000014156,740540.699300000094809,2577188.005200000014156,7,16,0.999,147,13520780.000000,147,147,25434.560000,65,8160.000000,125.538462,2.546,0.048,0.083,0.505,0.212,0.153
489,739540.699300000094809,2577188.005200000014156,740540.699300000094809,2576188.005200000014156,8,16,0.999,537,50791856.000000,537,537,113779.373000,181,20400.000000,112.707182,11.389,0.214,0.303,0.453,0.323,0.297
490,739540.699300000094809,2576188.005200000014156,740540.699300000094809,2575188.005200000014156,9,16,0.999,383,35060247.000000,383,383,105951.702000,96,8160.000000,85.000000,10.606,0.200,0.216,0.342,0.253,0.235
491,739540.699300000094809,2575188.005200000014156,740540.699300000094809,2574188.005200000014156,10,16,0.999,251,22116846.000000,251,251,81180.424000,89,4590.000000,51.573034,8.126,0.153,0.142,0.207,0.167,0.159
492,739540.699300000094809,2574188.005200000014156,740540.699300000094809,2573188.005200000014156,11,16,0.999,,,,,,1,0.000000,0.000000,0.000,0.000,,0.000,,
493,739540.699300000094809,2573188.005200000014156,740540.699300000094809,2572188.005200000014156,12,16,0.999,,,,,,1,0.000000,0.000000,0.000,0.000,,0.000,,
494,739540.699300000094809,2572188.005200000014156,740540.699300000094809,2571188.005200000014156,13,16,0.999,2,173833.000000,2,2,65.527000,1,0.000000,0.000000,0.007,0.000,0.001,0.000,0.000,0.000
495,739540.699300000094809,2571188.005200000014156,740540.699300000094809,2570188.005200000014156,14,16,0.999,108,10147062.000000,108,108,14734.115000,28,5865.000000,209.464286,1.475,0.028,0.061,0.842,0.310,0.204
496,739540.699300000094809,2570188.005200000014156,740540.699300000094809,2569188.005200000014156,15,16,0.999,164,14547334.000000,164,164,36896.391000,58,13005.000000,224.224138,3.693,0.069,0.093,0.902,0.355,0.245
497,739540.699300000094809,2569188.005200000014156,740540.699300000094809,2568188.005200000014156,16,16,0.999,29,2852784.000000,29,29,3643.424000,5,1020.000000,204.000000,0.365,0.007,0.016,0.821,0.281,0.173
498,739540.699300000094809,2568188.005200000014156,740540.699300000094809,2567188.005200000014156,17,16,0.999,321,29279475.000000,321,321,56759.027000,72,12750.000000,177.083333,5.682,0.107,0.181,0.712,0.333,0.258
